Country,City,Month,Day,Year,AvgTemperature
Germany,Munich,8,26,1996,16.77777777777778
Germany,Munich,8,27,1996,17.11111111111111
Germany,Munich,8,28,1996,14.22222222222222
Germany,Munich,8,29,1996,15.22222222222222
Germany,Munich,8,30,1996,14.72222222222222
Germany,Munich,8,31,1996,13.61111111111111
Germany,Munich,9,1,1996,12.611111111111112
Germany,Munich,9,2,1996,12.22222222222222
Germany,Munich,9,3,1996,13.833333333333334
Germany,Munich,9,4,1996,14.61111111111111
Germany,Munich,9,5,1996,13.055555555555555
Germany,Munich,9,6,1996,10.0
Germany,Munich,9,7,1996,8.555555555555555
Germany,Munich,9,8,1996,9.72222222222222
Germany,Munich,9,9,1996,9.888888888888888
Germany,Munich,9,10,1996,11.555555555555554
Germany,Munich,9,11,1996,11.77777777777778
Germany,Munich,9,12,1996,11.055555555555555
Germany,Munich,9,13,1996,7.833333333333333
Germany,Munich,9,14,1996,9.888888888888888
Germany,Munich,9,15,1996,10.055555555555555
Germany,Munich,9,16,1996,8.88888888888889
Germany,Munich,9,17,1996,6.277777777777776
Germany,Munich,9,18,1996,6.944444444444445
Germany,Munich,9,19,1996,10.72222222222222
Germany,Munich,9,20,1996,9.888888888888888
Germany,Munich,9,21,1996,10.22222222222222
Germany,Munich,9,22,1996,11.77777777777778
Germany,Munich,9,23,1996,10.999999999999998
Germany,Munich,9,24,1996,9.77777777777778
Germany,Munich,9,25,1996,9.27777777777778
Germany,Munich,9,26,1996,10.0
Germany,Munich,9,27,1996,11.333333333333334
Germany,Munich,9,28,1996,11.833333333333332
Germany,Munich,9,29,1996,10.944444444444446
Germany,Munich,9,30,1996,15.38888888888889
Germany,Munich,10,1,1996,15.22222222222222
Germany,Munich,10,2,1996,8.555555555555555
Germany,Munich,10,3,1996,7.444444444444445
Germany,Munich,10,4,1996,8.38888888888889
Germany,Munich,10,5,1996,9.27777777777778
Germany,Munich,10,6,1996,8.722222222222223
Germany,Munich,10,7,1996,10.666666666666668
Germany,Munich,10,8,1996,11.77777777777778
Germany,Munich,10,9,1996,11.61111111111111
Germany,Munich,10,10,1996,10.88888888888889
Germany,Munich,10,11,1996,9.555555555555555
Germany,Munich,10,12,1996,8.777777777777777
Germany,Munich,10,13,1996,8.944444444444445
Germany,Munich,10,14,1996,9.333333333333332
Germany,Munich,10,15,1996,10.72222222222222
Germany,Munich,10,16,1996,11.61111111111111
Germany,Munich,10,17,1996,7.333333333333335
Germany,Munich,10,18,1996,6.388888888888889
Germany,Munich,10,19,1996,7.833333333333333
Germany,Munich,10,20,1996,8.944444444444445
Germany,Munich,10,21,1996,10.944444444444446
Germany,Munich,10,22,1996,8.0
Germany,Munich,10,23,1996,4.666666666666666
Germany,Munich,10,24,1996,4.777777777777779
Germany,Munich,10,25,1996,3.6666666666666674
Germany,Munich,10,26,1996,5.333333333333334
Germany,Munich,10,27,1996,9.833333333333336
Germany,Munich,10,28,1996,12.555555555555555
Germany,Munich,10,29,1996,11.38888888888889
Germany,Munich,10,30,1996,6.555555555555554
Germany,Munich,10,31,1996,5.1111111111111125
Germany,Munich,11,1,1996,10.0
Germany,Munich,11,2,1996,9.22222222222222
Germany,Munich,11,3,1996,8.722222222222223
Germany,Munich,11,4,1996,7.833333333333333
Germany,Munich,11,5,1996,6.944444444444445
Germany,Munich,11,6,1996,8.88888888888889
Germany,Munich,11,7,1996,12.27777777777778
Germany,Munich,11,8,1996,6.944444444444445
Germany,Munich,11,9,1996,5.0
Germany,Munich,11,10,1996,2.1111111111111094
Germany,Munich,11,11,1996,6.888888888888888
Germany,Munich,11,12,1996,11.333333333333334
Germany,Munich,11,13,1996,7.277777777777778
Germany,Munich,11,14,1996,1.9444444444444444
Germany,Munich,11,15,1996,2.8888888888888906
Germany,Munich,11,16,1996,2.2222222222222223
Germany,Munich,11,17,1996,2.2222222222222223
Germany,Munich,11,18,1996,2.7777777777777777
Germany,Munich,11,19,1996,3.3888888888888897
Germany,Munich,11,20,1996,3.333333333333333
Germany,Munich,11,21,1996,2.555555555555556
Germany,Munich,11,22,1996,-0.7222222222222227
Germany,Munich,11,23,1996,-2.5
Germany,Munich,11,24,1996,-1.555555555555556
Germany,Munich,11,25,1996,-1.222222222222222
Germany,Munich,11,26,1996,2.944444444444443
Germany,Munich,11,27,1996,0.944444444444446
Germany,Munich,11,28,1996,-0.8333333333333334
Germany,Munich,11,29,1996,0.0555555555555563
Germany,Munich,11,30,1996,0.6111111111111119
Germany,Munich,12,1,1996,-0.1111111111111107
Germany,Munich,12,2,1996,2.1111111111111094
Germany,Munich,12,3,1996,1.833333333333332
Germany,Munich,12,4,1996,0.2777777777777778
Germany,Munich,12,5,1996,-2.7777777777777777
Germany,Munich,12,6,1996,-2.444444444444444
Germany,Munich,12,7,1996,-2.000000000000001
Germany,Munich,12,8,1996,-2.666666666666667
Germany,Munich,12,9,1996,-2.2222222222222223
Germany,Munich,12,10,1996,-1.722222222222223
Germany,Munich,12,11,1996,-2.166666666666666
Germany,Munich,12,12,1996,-2.8888888888888884
Germany,Munich,12,13,1996,-0.1111111111111107
Germany,Munich,12,14,1996,0.9999999999999984
Germany,Munich,12,15,1996,1.0555555555555547
Germany,Munich,12,16,1996,1.1111111111111112
Germany,Munich,12,17,1996,0.4999999999999992
Germany,Munich,12,18,1996,4.666666666666666
Germany,Munich,12,19,1996,1.555555555555554
Germany,Munich,12,20,1996,2.944444444444443
Germany,Munich,12,21,1996,-0.6111111111111119
Germany,Munich,12,22,1996,-4.055555555555555
Germany,Munich,12,23,1996,-3.277777777777777
Germany,Munich,12,24,1996,-5.833333333333333
Germany,Munich,12,25,1996,-10.27777777777778
Germany,Munich,12,26,1996,-12.0
Germany,Munich,12,27,1996,-14.77777777777778
Germany,Munich,12,28,1996,-14.944444444444445
Germany,Munich,12,29,1996,-15.5
Germany,Munich,12,30,1996,-12.555555555555555
Germany,Munich,12,31,1996,-12.88888888888889
Germany,Munich,1,1,1997,-11.77777777777778
Germany,Munich,1,2,1997,-10.0
Germany,Munich,1,3,1997,-5.722222222222222
Germany,Munich,1,4,1997,-4.055555555555555
Germany,Munich,1,5,1997,-3.166666666666666
Germany,Munich,1,6,1997,-3.277777777777777
Germany,Munich,1,7,1997,-7.111111111111111
Germany,Munich,1,8,1997,-6.388888888888889
Germany,Munich,1,9,1997,-4.888888888888889
Germany,Munich,1,10,1997,-4.222222222222223
Germany,Munich,1,11,1997,-3.944444444444445
Germany,Munich,1,12,1997,-4.611111111111111
Germany,Munich,1,13,1997,-7.611111111111111
Germany,Munich,1,14,1997,-9.0
Germany,Munich,1,15,1997,-8.61111111111111
Germany,Munich,1,16,1997,-8.11111111111111
Germany,Munich,1,17,1997,-9.0
Germany,Munich,1,18,1997,-7.722222222222222
Germany,Munich,1,19,1997,-5.833333333333333
Germany,Munich,1,20,1997,0.0555555555555563
Germany,Munich,1,21,1997,0.2222222222222214
Germany,Munich,1,22,1997,-0.7222222222222227
Germany,Munich,1,23,1997,-0.1111111111111107
Germany,Munich,1,24,1997,0.4999999999999992
Germany,Munich,1,25,1997,-1.1666666666666674
Germany,Munich,1,26,1997,0.0
Germany,Munich,1,27,1997,0.3888888888888904
Germany,Munich,1,28,1997,-0.3333333333333341
Germany,Munich,1,29,1997,-0.5555555555555556
Germany,Munich,1,30,1997,-1.222222222222222
Germany,Munich,1,31,1997,-2.2222222222222223
Germany,Munich,2,1,1997,-1.8333333333333337
Germany,Munich,2,2,1997,-4.277777777777778
Germany,Munich,2,3,1997,-3.166666666666666
Germany,Munich,2,4,1997,0.6666666666666683
Germany,Munich,2,5,1997,4.222222222222223
Germany,Munich,2,6,1997,1.1111111111111112
Germany,Munich,2,7,1997,0.6111111111111119
Germany,Munich,2,8,1997,1.833333333333332
Germany,Munich,2,9,1997,2.722222222222221
Germany,Munich,2,10,1997,4.166666666666667
Germany,Munich,2,11,1997,4.444444444444445
Germany,Munich,2,12,1997,8.38888888888889
Germany,Munich,2,13,1997,6.944444444444445
Germany,Munich,2,14,1997,2.444444444444444
Germany,Munich,2,15,1997,1.6666666666666667
Germany,Munich,2,16,1997,0.6111111111111119
Germany,Munich,2,17,1997,0.777777777777777
Germany,Munich,2,18,1997,2.8888888888888906
Germany,Munich,2,19,1997,2.2222222222222223
Germany,Munich,2,20,1997,7.11111111111111
Germany,Munich,2,21,1997,7.611111111111112
Germany,Munich,2,22,1997,8.333333333333334
Germany,Munich,2,23,1997,5.888888888888889
Germany,Munich,2,24,1997,7.722222222222222
Germany,Munich,2,25,1997,11.944444444444445
Germany,Munich,2,26,1997,8.833333333333334
Germany,Munich,2,27,1997,4.222222222222223
Germany,Munich,2,28,1997,4.111111111111111
Germany,Munich,3,1,1997,6.0555555555555545
Germany,Munich,3,2,1997,9.833333333333336
Germany,Munich,3,3,1997,7.555555555555555
Germany,Munich,3,4,1997,6.611111111111111
Germany,Munich,3,5,1997,7.11111111111111
Germany,Munich,3,6,1997,6.388888888888889
Germany,Munich,3,7,1997,6.388888888888889
Germany,Munich,3,8,1997,4.222222222222223
Germany,Munich,3,9,1997,6.111111111111111
Germany,Munich,3,10,1997,6.0555555555555545
Germany,Munich,3,11,1997,5.888888888888889
Germany,Munich,3,12,1997,8.166666666666668
Germany,Munich,3,13,1997,8.166666666666668
Germany,Munich,3,14,1997,7.5
Germany,Munich,3,15,1997,7.833333333333333
Germany,Munich,3,16,1997,9.166666666666666
Germany,Munich,3,17,1997,8.666666666666666
Germany,Munich,3,18,1997,6.333333333333332
Germany,Munich,3,19,1997,5.277777777777778
Germany,Munich,3,20,1997,2.000000000000001
Germany,Munich,3,21,1997,1.888888888888888
Germany,Munich,3,22,1997,2.2222222222222223
Germany,Munich,3,23,1997,2.555555555555556
Germany,Munich,3,24,1997,4.333333333333332
Germany,Munich,3,25,1997,4.888888888888888
Germany,Munich,3,26,1997,6.555555555555554
Germany,Munich,3,27,1997,9.555555555555555
Germany,Munich,3,28,1997,7.222222222222222
Germany,Munich,3,29,1997,2.7777777777777777
Germany,Munich,3,30,1997,2.999999999999999
Germany,Munich,3,31,1997,5.888888888888889
Germany,Munich,4,1,1997,9.22222222222222
Germany,Munich,4,2,1997,9.72222222222222
Germany,Munich,4,3,1997,10.72222222222222
Germany,Munich,4,4,1997,4.666666666666666
Germany,Munich,4,5,1997,3.944444444444445
Germany,Munich,4,6,1997,5.222222222222221
Germany,Munich,4,7,1997,1.3888888888888888
Germany,Munich,4,8,1997,2.444444444444444
Germany,Munich,4,9,1997,6.388888888888889
Germany,Munich,4,10,1997,10.055555555555555
Germany,Munich,4,11,1997,8.055555555555555
Germany,Munich,4,12,1997,2.6111111111111125
Germany,Munich,4,13,1997,4.444444444444445
Germany,Munich,4,14,1997,7.11111111111111
Germany,Munich,4,15,1997,4.333333333333332
Germany,Munich,4,16,1997,2.333333333333335
Germany,Munich,4,17,1997,2.5
Germany,Munich,4,18,1997,7.444444444444445
Germany,Munich,4,19,1997,5.7222222222222205
Germany,Munich,4,20,1997,0.8888888888888897
Germany,Munich,4,21,1997,0.8333333333333334
Germany,Munich,4,22,1997,3.888888888888889
Germany,Munich,4,23,1997,5.1111111111111125
Germany,Munich,4,24,1997,7.777777777777778
Germany,Munich,4,25,1997,11.500000000000002
Germany,Munich,4,26,1997,10.72222222222222
Germany,Munich,4,27,1997,9.27777777777778
Germany,Munich,4,28,1997,12.0
Germany,Munich,4,29,1997,9.666666666666666
Germany,Munich,4,30,1997,9.11111111111111
Germany,Munich,5,1,1997,9.944444444444445
Germany,Munich,5,2,1997,11.277777777777777
Germany,Munich,5,3,1997,16.11111111111111
Germany,Munich,5,4,1997,15.27777777777778
Germany,Munich,5,5,1997,14.38888888888889
Germany,Munich,5,6,1997,11.444444444444445
Germany,Munich,5,7,1997,6.111111111111111
Germany,Munich,5,8,1997,5.222222222222221
Germany,Munich,5,9,1997,7.88888888888889
Germany,Munich,5,10,1997,11.055555555555555
Germany,Munich,5,11,1997,15.055555555555555
Germany,Munich,5,12,1997,15.27777777777778
Germany,Munich,5,13,1997,16.5
Germany,Munich,5,14,1997,19.0
Germany,Munich,5,15,1997,19.61111111111111
Germany,Munich,5,16,1997,19.88888888888889
Germany,Munich,5,17,1997,19.66666666666667
Germany,Munich,5,18,1997,17.666666666666668
Germany,Munich,5,19,1997,16.88888888888889
Germany,Munich,5,20,1997,16.444444444444443
Germany,Munich,5,21,1997,15.666666666666666
Germany,Munich,5,22,1997,12.77777777777778
Germany,Munich,5,23,1997,13.166666666666668
Germany,Munich,5,24,1997,11.61111111111111
Germany,Munich,5,25,1997,10.72222222222222
Germany,Munich,5,26,1997,13.11111111111111
Germany,Munich,5,27,1997,13.722222222222223
Germany,Munich,5,28,1997,9.888888888888888
Germany,Munich,5,29,1997,11.555555555555554
Germany,Munich,5,30,1997,11.38888888888889
Germany,Munich,5,31,1997,8.722222222222223
Germany,Munich,6,1,1997,11.38888888888889
Germany,Munich,6,2,1997,14.27777777777778
Germany,Munich,6,3,1997,13.11111111111111
Germany,Munich,6,4,1997,14.77777777777778
Germany,Munich,6,5,1997,17.72222222222222
Germany,Munich,6,6,1997,17.83333333333333
Germany,Munich,6,7,1997,17.5
Germany,Munich,6,8,1997,16.833333333333332
Germany,Munich,6,9,1997,18.111111111111107
Germany,Munich,6,10,1997,19.388888888888893
Germany,Munich,6,11,1997,21.11111111111111
Germany,Munich,6,12,1997,20.38888888888889
Germany,Munich,6,13,1997,18.55555555555556
Germany,Munich,6,14,1997,17.38888888888889
Germany,Munich,6,15,1997,17.61111111111111
Germany,Munich,6,16,1997,17.944444444444443
Germany,Munich,6,17,1997,15.61111111111111
Germany,Munich,6,18,1997,14.166666666666666
Germany,Munich,6,19,1997,12.444444444444445
Germany,Munich,6,20,1997,13.61111111111111
Germany,Munich,6,21,1997,15.333333333333334
Germany,Munich,6,22,1997,10.5
Germany,Munich,6,23,1997,13.666666666666666
Germany,Munich,6,24,1997,12.5
Germany,Munich,6,25,1997,14.27777777777778
Germany,Munich,6,26,1997,13.777777777777777
Germany,Munich,6,27,1997,14.833333333333334
Germany,Munich,6,28,1997,17.77777777777778
Germany,Munich,6,29,1997,20.500000000000004
Germany,Munich,6,30,1997,16.333333333333332
Germany,Munich,7,1,1997,15.38888888888889
Germany,Munich,7,2,1997,18.55555555555556
Germany,Munich,7,3,1997,18.444444444444443
Germany,Munich,7,4,1997,15.555555555555555
Germany,Munich,7,5,1997,13.61111111111111
Germany,Munich,7,6,1997,14.666666666666666
Germany,Munich,7,7,1997,14.5
Germany,Munich,7,8,1997,16.22222222222222
Germany,Munich,7,9,1997,16.88888888888889
Germany,Munich,7,10,1997,17.333333333333332
Germany,Munich,7,11,1997,16.22222222222222
Germany,Munich,7,12,1997,18.111111111111107
Germany,Munich,7,13,1997,19.166666666666668
Germany,Munich,7,14,1997,17.88888888888889
Germany,Munich,7,15,1997,15.77777777777778
Germany,Munich,7,16,1997,17.444444444444443
Germany,Munich,7,17,1997,19.83333333333333
Germany,Munich,7,18,1997,15.77777777777778
Germany,Munich,7,19,1997,13.88888888888889
Germany,Munich,7,20,1997,15.166666666666666
Germany,Munich,7,21,1997,14.61111111111111
Germany,Munich,7,22,1997,18.166666666666668
Germany,Munich,7,23,1997,17.38888888888889
Germany,Munich,7,24,1997,19.05555555555556
Germany,Munich,7,25,1997,16.555555555555557
Germany,Munich,7,26,1997,16.444444444444443
Germany,Munich,7,27,1997,19.72222222222222
Germany,Munich,7,28,1997,18.444444444444443
Germany,Munich,7,29,1997,18.944444444444443
Germany,Munich,7,30,1997,18.88888888888889
Germany,Munich,7,31,1997,16.61111111111111
Germany,Munich,8,1,1997,13.777777777777777
Germany,Munich,8,2,1997,16.055555555555557
Germany,Munich,8,3,1997,17.83333333333333
Germany,Munich,8,4,1997,19.88888888888889
Germany,Munich,8,5,1997,21.0
Germany,Munich,8,6,1997,20.166666666666668
Germany,Munich,8,7,1997,19.111111111111114
Germany,Munich,8,8,1997,18.33333333333333
Germany,Munich,8,9,1997,18.166666666666668
Germany,Munich,8,10,1997,18.77777777777778
Germany,Munich,8,11,1997,20.55555555555556
Germany,Munich,8,12,1997,19.77777777777777
Germany,Munich,8,13,1997,19.5
Germany,Munich,8,14,1997,21.166666666666664
Germany,Munich,8,15,1997,21.55555555555556
Germany,Munich,8,16,1997,18.944444444444443
Germany,Munich,8,17,1997,17.72222222222222
Germany,Munich,8,18,1997,16.944444444444443
Germany,Munich,8,19,1997,17.77777777777778
Germany,Munich,8,20,1997,18.38888888888889
Germany,Munich,8,21,1997,19.444444444444443
Germany,Munich,8,22,1997,19.88888888888889
Germany,Munich,8,23,1997,20.27777777777778
Germany,Munich,8,24,1997,19.27777777777778
Germany,Munich,8,25,1997,20.055555555555557
Germany,Munich,8,26,1997,19.61111111111111
Germany,Munich,8,27,1997,20.11111111111111
Germany,Munich,8,28,1997,16.77777777777778
Germany,Munich,8,29,1997,12.444444444444445
Germany,Munich,8,30,1997,15.77777777777778
Germany,Munich,8,31,1997,17.72222222222222
Germany,Munich,9,1,1997,17.83333333333333
Germany,Munich,9,2,1997,19.27777777777778
Germany,Munich,9,3,1997,19.222222222222214
Germany,Munich,9,4,1997,19.111111111111114
Germany,Munich,9,5,1997,19.27777777777778
Germany,Munich,9,6,1997,17.61111111111111
Germany,Munich,9,7,1997,16.333333333333332
Germany,Munich,9,8,1997,15.5
Germany,Munich,9,9,1997,16.38888888888889
Germany,Munich,9,10,1997,12.333333333333336
Germany,Munich,9,11,1997,12.22222222222222
Germany,Munich,9,12,1997,18.05555555555556
Germany,Munich,9,13,1997,14.38888888888889
Germany,Munich,9,14,1997,10.833333333333334
Germany,Munich,9,15,1997,9.888888888888888
Germany,Munich,9,16,1997,11.555555555555554
Germany,Munich,9,17,1997,13.88888888888889
Germany,Munich,9,18,1997,15.444444444444445
Germany,Munich,9,19,1997,15.38888888888889
Germany,Munich,9,20,1997,10.111111111111112
Germany,Munich,9,21,1997,8.722222222222223
Germany,Munich,9,22,1997,8.944444444444445
Germany,Munich,9,23,1997,10.27777777777778
Germany,Munich,9,24,1997,10.944444444444446
Germany,Munich,9,25,1997,11.500000000000002
Germany,Munich,9,26,1997,11.11111111111111
Germany,Munich,9,27,1997,11.944444444444445
Germany,Munich,9,28,1997,10.944444444444446
Germany,Munich,9,29,1997,12.611111111111112
Germany,Munich,9,30,1997,15.666666666666666
Germany,Munich,10,1,1997,15.055555555555555
Germany,Munich,10,2,1997,15.61111111111111
Germany,Munich,10,3,1997,8.833333333333334
Germany,Munich,10,4,1997,9.11111111111111
Germany,Munich,10,5,1997,10.666666666666668
Germany,Munich,10,6,1997,11.555555555555554
Germany,Munich,10,7,1997,14.11111111111111
Germany,Munich,10,8,1997,17.166666666666668
Germany,Munich,10,9,1997,19.944444444444446
Germany,Munich,10,10,1997,15.5
Germany,Munich,10,11,1997,11.555555555555554
Germany,Munich,10,12,1997,9.611111111111107
Germany,Munich,10,13,1997,6.555555555555554
Germany,Munich,10,14,1997,5.38888888888889
Germany,Munich,10,15,1997,5.38888888888889
Germany,Munich,10,16,1997,5.444444444444443
Germany,Munich,10,17,1997,6.666666666666667
Germany,Munich,10,18,1997,5.666666666666668
Germany,Munich,10,19,1997,6.611111111111111
Germany,Munich,10,20,1997,7.444444444444445
Germany,Munich,10,21,1997,4.555555555555557
Germany,Munich,10,22,1997,2.666666666666665
Germany,Munich,10,23,1997,4.055555555555554
Germany,Munich,10,24,1997,3.333333333333333
Germany,Munich,10,25,1997,4.055555555555554
Germany,Munich,10,26,1997,4.555555555555557
Germany,Munich,10,27,1997,0.0555555555555563
Germany,Munich,10,28,1997,-1.3888888888888888
Germany,Munich,10,29,1997,-1.4444444444444453
Germany,Munich,10,30,1997,2.333333333333335
Germany,Munich,10,31,1997,2.7777777777777777
Germany,Munich,11,1,1997,0.944444444444446
Germany,Munich,11,2,1997,1.7777777777777797
Germany,Munich,11,3,1997,1.555555555555554
Germany,Munich,11,4,1997,1.833333333333332
Germany,Munich,11,5,1997,2.7777777777777777
Germany,Munich,11,6,1997,11.11111111111111
Germany,Munich,11,7,1997,12.0
Germany,Munich,11,8,1997,8.944444444444445
Germany,Munich,11,9,1997,4.444444444444445
Germany,Munich,11,10,1997,5.777777777777777
Germany,Munich,11,11,1997,6.0555555555555545
Germany,Munich,11,12,1997,5.555555555555555
Germany,Munich,11,13,1997,5.38888888888889
Germany,Munich,11,14,1997,4.555555555555557
Germany,Munich,11,15,1997,3.888888888888889
Germany,Munich,11,16,1997,5.055555555555556
Germany,Munich,11,17,1997,2.444444444444444
Germany,Munich,11,18,1997,1.3333333333333326
Germany,Munich,11,19,1997,-2.2777777777777786
